Running in CPU mode	
Epoch 1.38 / 50, i = 137 / 17800, loss = 2.478419	
Epoch 1.39 / 50, i = 138 / 17800, loss = 2.445405	
Epoch 1.39 / 50, i = 139 / 17800, loss = 2.467021	
Epoch 1.39 / 50, i = 140 / 17800, loss = 2.434751	
Epoch 1.40 / 50, i = 141 / 17800, loss = 2.475554	
Epoch 1.40 / 50, i = 142 / 17800, loss = 2.472994	
Epoch 1.40 / 50, i = 143 / 17800, loss = 2.526566	
Epoch 1.40 / 50, i = 144 / 17800, loss = 2.482002	
Epoch 1.41 / 50, i = 145 / 17800, loss = 2.411273	
Epoch 1.41 / 50, i = 146 / 17800, loss = 2.467957	
Epoch 1.41 / 50, i = 147 / 17800, loss = 2.417897	
Epoch 1.42 / 50, i = 148 / 17800, loss = 2.442606	
Epoch 1.42 / 50, i = 149 / 17800, loss = 2.463221	
Epoch 1.42 / 50, i = 150 / 17800, loss = 2.440737	
Epoch 1.42 / 50, i = 151 / 17800, loss = 2.432235	
Epoch 1.43 / 50, i = 152 / 17800, loss = 2.438289	
Epoch 1.43 / 50, i = 153 / 17800, loss = 2.427677	
Epoch 1.43 / 50, i = 154 / 17800, loss = 2.443257	
Epoch 1.44 / 50, i = 155 / 17800, loss = 2.420088	
Epoch 1.44 / 50, i = 156 / 17800, loss = 2.432556	
Epoch 1.44 / 50, i = 157 / 17800, loss = 2.403282	
Epoch 1.44 / 50, i = 158 / 17800, loss = 2.404516	
Epoch 1.45 / 50, i = 159 / 17800, loss = 2.434192	
Epoch 1.45 / 50, i = 160 / 17800, loss = 2.453159	
Epoch 1.45 / 50, i = 161 / 17800, loss = 2.435397	
Epoch 1.46 / 50, i = 162 / 17800, loss = 2.442126	
Epoch 1.46 / 50, i = 163 / 17800, loss = 2.411688	
Epoch 1.46 / 50, i = 164 / 17800, loss = 2.416339	
Epoch 1.46 / 50, i = 165 / 17800, loss = 2.373747	
Epoch 1.47 / 50, i = 166 / 17800, loss = 2.395146	
Epoch 1.47 / 50, i = 167 / 17800, loss = 2.364834	
Epoch 1.47 / 50, i = 168 / 17800, loss = 2.400307	
Epoch 1.47 / 50, i = 169 / 17800, loss = 2.388172	
Epoch 1.48 / 50, i = 170 / 17800, loss = 2.374451	
Epoch 1.48 / 50, i = 171 / 17800, loss = 2.398187	
Epoch 1.48 / 50, i = 172 / 17800, loss = 2.365672	
Epoch 1.49 / 50, i = 173 / 17800, loss = 2.417657	
Epoch 1.49 / 50, i = 174 / 17800, loss = 2.405371	
Epoch 1.49 / 50, i = 175 / 17800, loss = 2.424250	
Epoch 1.49 / 50, i = 176 / 17800, loss = 2.410776	
Epoch 1.50 / 50, i = 177 / 17800, loss = 2.403748	
Epoch 1.50 / 50, i = 178 / 17800, loss = 2.369512	
Epoch 1.50 / 50, i = 179 / 17800, loss = 2.415275	
Epoch 1.51 / 50, i = 180 / 17800, loss = 2.369622	
Epoch 1.51 / 50, i = 181 / 17800, loss = 2.374983	
Epoch 1.51 / 50, i = 182 / 17800, loss = 2.386648	
Epoch 1.51 / 50, i = 183 / 17800, loss = 2.352846	
Epoch 1.52 / 50, i = 184 / 17800, loss = 2.376299	
Epoch 1.52 / 50, i = 185 / 17800, loss = 2.328199	
Epoch 1.52 / 50, i = 186 / 17800, loss = 2.327411	
Epoch 1.53 / 50, i = 187 / 17800, loss = 2.339480	
Epoch 1.53 / 50, i = 188 / 17800, loss = 2.372418	
Epoch 1.53 / 50, i = 189 / 17800, loss = 2.341895	
Epoch 1.53 / 50, i = 190 / 17800, loss = 2.365460	
Epoch 1.54 / 50, i = 191 / 17800, loss = 2.377641	
Epoch 1.54 / 50, i = 192 / 17800, loss = 2.353220	
Epoch 1.54 / 50, i = 193 / 17800, loss = 2.398715	
Epoch 1.54 / 50, i = 194 / 17800, loss = 2.306782	
Epoch 1.55 / 50, i = 195 / 17800, loss = 2.345632	
Epoch 1.55 / 50, i = 196 / 17800, loss = 2.336033	
Epoch 1.55 / 50, i = 197 / 17800, loss = 2.344335	
Epoch 1.56 / 50, i = 198 / 17800, loss = 2.340523	
Epoch 1.56 / 50, i = 199 / 17800, loss = 2.280994	
Epoch 1.56 / 50, i = 200 / 17800, loss = 2.348196	
Epoch 1.56 / 50, i = 201 / 17800, loss = 2.311807	
Epoch 1.57 / 50, i = 202 / 17800, loss = 2.301307	
Epoch 1.57 / 50, i = 203 / 17800, loss = 2.293131	
Epoch 1.57 / 50, i = 204 / 17800, loss = 2.397255	
Epoch 1.58 / 50, i = 205 / 17800, loss = 2.307320	
Epoch 1.58 / 50, i = 206 / 17800, loss = 2.375472	
Epoch 1.58 / 50, i = 207 / 17800, loss = 2.391225	
Epoch 1.58 / 50, i = 208 / 17800, loss = 2.304072	
Epoch 1.59 / 50, i = 209 / 17800, loss = 2.324280	
Epoch 1.59 / 50, i = 210 / 17800, loss = 2.321752	
Epoch 1.59 / 50, i = 211 / 17800, loss = 2.340393	
Epoch 1.60 / 50, i = 212 / 17800, loss = 2.305703	
Epoch 1.60 / 50, i = 213 / 17800, loss = 2.290918	
Epoch 1.60 / 50, i = 214 / 17800, loss = 2.305818	
Epoch 1.60 / 50, i = 215 / 17800, loss = 2.336320	
Epoch 1.61 / 50, i = 216 / 17800, loss = 2.358979	
Epoch 1.61 / 50, i = 217 / 17800, loss = 2.318687	
Epoch 1.61 / 50, i = 218 / 17800, loss = 2.325429	
Epoch 1.62 / 50, i = 219 / 17800, loss = 2.377574	
Epoch 1.62 / 50, i = 220 / 17800, loss = 2.385657	
Epoch 1.62 / 50, i = 221 / 17800, loss = 2.325013	
Epoch 1.62 / 50, i = 222 / 17800, loss = 2.261575	
Epoch 1.63 / 50, i = 223 / 17800, loss = 2.312801	
Epoch 1.63 / 50, i = 224 / 17800, loss = 2.296573	
Epoch 1.63 / 50, i = 225 / 17800, loss = 2.316941	
Epoch 1.63 / 50, i = 226 / 17800, loss = 2.310811	
Epoch 1.64 / 50, i = 227 / 17800, loss = 2.367090	
Epoch 1.64 / 50, i = 228 / 17800, loss = 2.318663	
